i;;nb tour/sec;m/s
39;;2000039;504046,9541
243;;0,02000039;0,00504047
241;;0,0100002;0,002520236
239;;0,0100002;0,002520236
237;;0;0
235;;0,02000039;0,00504047
233;;0;0
231;;0,02000039;0,00504047
229;;0,02000039;0,00504047
227;;0,0100002;0,002520236
225;;0,04000078;0,010080939
223;;0,04000078;0,010080939
221;;0,0100002;0,002520236
219;;0,0100002;0,002520236
217;;0;0
215;;0;0
213;;0;0
211;;0,0100002;0,002520236
209;;0;0
207;;0;0
205;;0;0
203;;0,02000039;0,00504047
201;;0,02000039;0,00504047
199;;0,6400125;0,16129503
197;;1,23002398;0,309988875
195;;1,8700366;0,471283936
193;;2,83005524;0,713226454
191;;3,33006501;0,839238197
189;;3,83007479;0,965249943
187;;4,1900816;1,055978342
185;;4,42008638;1,113943816
183;;4,54008865;1,144186616
181;;4,5200882;1,139146131
179;;4,4600873;1,124024791
177;;4,37008524;1,101342601
175;;4,15008068;1,045897368
173;;4,14008045;1,043377124
171;;4,10008001;1,033296271
169;;4,14008045;1,043377124
167;;4,44008684;1,118984304
165;;4,90009546;1,234915015
163;;5,37010479;1,353366091
161;;6,13011932;1,54490386
159;;6,59012842;1,660834692
157;;6,76013231;1,703678828
155;;6,60012865;1,663354936
153;;6,76013231;1,703678828
151;;7,1401391;1,799447593
149;;7,66014957;1,930499884
147;;7,7901516;1,963262809
145;;7,76015186;1,955702318
143;;8,13015842;2,048950839
141;;8,56016636;2,157320822
139;;9,13017845;2,30097445
137;;9,76019096;2,459749297
135;;10,2802;2,590801228
133;;10,56020546;2,661367802
131;;10,92021275;2,752096321
129;;11,14021683;2,807541433
127;;11,59022617;2,92095214
125;;11,670228;2,941114087
123;;11,54022503;2,908350925
121;;11,48022366;2,893229466
119;;11,56022549;2,913391412
117;;11,98023319;3,019241149
115;;12,40024281;3,12509137
113;;12,72024822;3,205738673
111;;13,21025753;3,329230115
109;;13,41026211;3,379634982
107;;13,51026344;3,404837173
105;;13,59026527;3,42499912
103;;14,11027527;3,556051292
101;;14,51028252;3,656860545
99;;14,83028889;3,73750809
97;;14,90029049;3,755149793
95;;15,29029846;3,853439041
93;;15,45030117;3,893762694
91;;15,56030369;3,921485371
89;;15,67030525;3,949207806
87;;15,88031006;4,002132916
85;;15,98031235;4,027335349
83;;16,10031319;4,057577789
81;;16,5203228;4,163428007
79;;16,61032295;4,186109715
77;;16,74032593;4,21887288
75;;17,03033257;4,291959936
73;;17,24033737;4,344885044
71;;17,08033371;4,304561152
69;;17,31033707;4,362526268
67;;17,29033852;4,357486262
65;;17,10033417;4,309601639
63;;17,28033829;4,354966018
61;;17,31033707;4,362526268
59;;17,3903389;4,382688214
57;;17,5303421;4,417971619
55;;17,57034302;4,428052594
53;;17,54034233;4,420491863
51;;17,64034462;4,445694296
49;;17,85034943;4,498619407
47;;17,87034798;4,503659412
45;;18,1203537;4,566665495
43;;18,30035782;4,612029874
41;;18,20035553;4,586827441
39;;18,27035713;4,604469143
37;;18,25035667;4,599428656
35;;18,28035545;4,606988906
33;;18,49036026;4,659914016
31;;18,59036255;4,685116449
29;;18,77036667;4,730480829
27;;19,21037483;4,841371053
25;;19,31037712;4,866573486
23;;19,64038277;4,949741036
21;;19,83038712;4,997625659
19;;19,77038574;4,982504198
17;;20,05039024;5,053070529
15;;20,05039024;5,053070529
13;;20,19039345;5,088353937
11;;20,20039368;5,090874181
9;;20,35039711;5,128677829
7;;20,60040092;5,19168343
5;;20,54040146;5,176562453
3;;20,86040688;5,257209759
1;;21,14041328;5,327776569
0;;21,24041557;5,352979002
0;;19,07037163;4,806087648
0;;14,42028141;3,634178594
0;;10,42020321;2,626084636
0;;6,66013002;1,678476395
0;;3,32006478;0,836717954
0;;1,02001989;0,257063947
0;;0,11000215;0,027722584
0;;0,04000078;0,010080939
0;;0,0100002;0,002520236
0;;0;0
0;;0;0
0;;0;0
0;;0;0
0;;0,0100002;0,002520236
0;;0,02000039;0,00504047
0;;0,0100002;0,002520236
0;;0,0100002;0,002520236
0;;0,0100002;0,002520236
0;;0,0100002;0,002520236
0;;0;0
0;;0;0
0;;0,0100002;0,002520236
0;;0,0100002;0,002520236
0;;0,0100002;0,002520236
0;;0;0
0;;0;0
0;;0;0
0;;0,0100002;0,002520236
0;;0,02000039;0,00504047
0;;0;0
0;;0,02000039;0,00504047
0;;0,05000098;0,012601175
